CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/14/2019,15:30,BROOKLYN,11207,40.672714,-73.89032,POINT (-73.89032 40.672714),PITKIN AVENUE                   ,VAN SICLEN AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4132125,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/14/2019,12:15,MANHATTAN,10009,40.72913,-73.977264,POINT (-73.977264 40.72913),,,625       EAST 14 STREET                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4131721,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,,,
05/15/2019,6:25,QUEENS,11417,40.679283,-73.83263,POINT (-73.83263 40.679283),107 STREET                      ,109 AVENUE,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4132720,Sedan,Sedan,,,
05/15/2019,17:40,MANHATTAN,10002,40.71975,-73.992165,POINT (-73.992165 40.71975),DELANCEY STREET                 ,FORSYTH STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4134417,Sedan,Sedan,,,
05/14/2019,16:35,BRONX,10456,40.82581,-73.907036,POINT (-73.907036 40.82581),EAST 165 STREET                 ,BOSTON ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4131910,Sedan,Sedan,,,
05/14/2019,9:25,,,40.741234,-73.84573,POINT (-73.84573 40.741234),GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,4133583,Sedan,Sedan,,,
05/14/2019,19:15,QUEENS,11432,40.714325,-73.80743,POINT (-73.80743 40.714325),PARSONS BOULEVARD               ,HOOVER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4131819,Sedan,Sedan,,,
05/14/2019,21:05,QUEENS,11375,40.724308,-73.842575,POINT (-73.842575 40.724308),JEWEL AVENUE                    ,110 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4131881,Sedan,,,,
05/14/2019,8:45,,,40.758396,-73.941666,POINT (-73.941666 40.758396),11 STREET                       ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4132050,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/15/2019,7:30,MANHATTAN,10024,40.784992,-73.98261,POINT (-73.98261 40.784992),WEST 79 STREET                  ,RIVERSIDE DRIVE,,1,0,1,0,0,0,0,0,View Obstructed/Limited,,,,,4132138,Sedan,,,,
05/13/2019,10:20,BRONX,10452,40.839603,-73.918144,POINT (-73.918144 40.839603),ELLIOT PLACE                    ,JEROME AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4132107,Sedan,,,,
05/13/2019,10:30,,,40.723648,-73.99103,POINT (-73.99103 40.723648),EAST HOUSTON STREET             ,2 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4131427,Pick-up Truck,Sedan,,,
05/14/2019,8:50,QUEENS,11413,40.68783,-73.74973,POINT (-73.74973 40.68783),199 STREET                      ,122 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4132352,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
05/14/2019,6:50,QUEENS,11421,40.69125,-73.85087,POINT (-73.85087 40.69125),WOODHAVEN BOULEVARD             ,89 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4131535,Bus,Station Wagon/Sport Utility Vehicle,,,
05/14/2019,20:00,MANHATTAN,10121,40.750015,-73.991356,POINT (-73.991356 40.750015),,,2         PENNSYLVANIA PLAZA            ,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,4131995,Station Wagon/Sport Utility Vehicle,Taxi,,,
05/13/2019,17:30,BROOKLYN,11230,40.62937,-73.97286,POINT (-73.97286 40.62937),FOSTER AVENUE                   ,EAST 5 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4131581,Lift Boom,Sedan,,,
05/14/2019,18:45,BROOKLYN,11209,40.628227,-74.03091,POINT (-74.03091 40.628227),,,235       80 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4131850,Sedan,,,,
05/14/2019,16:10,,,,,,GOWANUS RAMP                    ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4131827,Concrete Mixer,Sedan,,,
05/15/2019,21:47,MANHATTAN,10024,40.783146,-73.97833,POINT (-73.97833 40.783146),WEST 79 STREET                  ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4133452,Taxi,Sedan,,,
05/13/2019,13:50,BROOKLYN,11204,40.61384,-73.981445,POINT (-73.981445 40.61384),BAY PARKWAY                     ,65 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4131158,Box Truck,Pick-up Truck,,,
05/13/2019,10:45,BROOKLYN,11210,40.62262,-73.94028,POINT (-73.94028 40.62262),AVENUE L                        ,EAST 36 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4132152,Sedan,Taxi,,,
05/14/2019,17:40,MANHATTAN,10001,40.7494,-73.99178,POINT (-73.99178 40.7494),,,11        PENNSYLVANIA PLAZA            ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4131964,Taxi,Sedan,,,
05/14/2019,14:30,QUEENS,11101,40.73824,-73.93183,POINT (-73.93183 40.73824),,,50-11     34 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4132241,Box Truck,Sedan,,,
05/14/2019,14:14,QUEENS,11354,40.75983,-73.831856,POINT (-73.831856 40.75983),,,135-16    39 AVENUE                     ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4131900,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/15/2019,16:30,,,40.505527,-74.23819,POINT (-74.23819 40.505527),HYLAN BOULEVARD                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4132427,Bus,Station Wagon/Sport Utility Vehicle,,,
09/25/2019,10:00,,,,,,NEW ENGLAND THRUWAY             ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4243708,Pick-up Truck,,,,
05/14/2019,12:12,,,40.79726,-73.94053,POINT (-73.94053 40.79726),EAST 115 STREET                 ,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4131787,Sedan,,,,
05/16/2019,9:35,,,40.71583,-73.81375,POINT (-73.81375 40.71583),GRAND CENTRAL PKWY              ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4133141,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
05/14/2019,10:10,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4132208,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
05/15/2019,7:01,,,40.808784,-73.93479,POINT (-73.93479 40.808784),HARLEM RIVER DRIVE              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4132198,Sedan,Pick-up Truck,,,
05/13/2019,16:42,BRONX,10457,40.843643,-73.90676,POINT (-73.90676 40.843643),EAST 173 STREET                 ,MONROE AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Failure to Yield Right-of-Way,,,,4131265,Sedan,Sedan,,,
05/16/2019,22:52,BROOKLYN,11233,40.68192,-73.93484,POINT (-73.93484 40.68192),,,393       LEWIS AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4134707,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/16/2019,8:30,BROOKLYN,11230,40.621677,-73.96264,POINT (-73.96264 40.621677),,,1132      EAST 13 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4133014,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/14/2019,12:50,MANHATTAN,10019,40.76816,-73.982475,POINT (-73.982475 40.76816),,,10        COLUMBUS CIRCLE               ,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4132021,Taxi,Ambul,,,
05/13/2019,17:57,BROOKLYN,11215,40.667145,-73.981384,POINT (-73.981384 40.667145),,,324       7 AVENUE                      ,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,4131442,Station Wagon/Sport Utility Vehicle,Bike,,,
05/15/2019,19:00,QUEENS,11420,40.675198,-73.804565,POINT (-73.804565 40.675198),,,120-07    134 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4132724,Sedan,,,,
05/14/2019,8:28,,,40.734314,-73.93803,POINT (-73.93803 40.734314),GREENPOINT AVENUE               ,REVIEW AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4131690,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/13/2019,12:11,,,40.89552,-73.86402,POINT (-73.86402 40.89552),EAST 233 STREET                 ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4131800,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/14/2019,19:13,MANHATTAN,10035,40.80293,-73.94058,POINT (-73.94058 40.80293),,,1753      PARK AVENUE                   ,0,0,0,0,0,0,0,0,Unspecified,,,,,4133685,Sedan,,,,
05/13/2019,15:00,MANHATTAN,10002,40.718983,-73.97559,POINT (-73.97559 40.718983),,,500       EAST HOUSTON STREET           ,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,4131426,Taxi,Taxi,,,
